Keyword,Expected,Algorithm Accuracy Result,Priority Number,Precision,Recall,Average Precision
peuabeh,peuabéh,0.95,1,1.00,1.00,1.00
petran,pètran,0.90,3,1.00,1.00,1.00
peteunah,péteunah,0.92,3,1.00,1.00,1.00
pesta,pèsta,0.88,2,1.00,1.00,1.00
pers'en,pers'èn,0.95,1,1.00,1.00,1.00
periskop,periskôp,0.96,1,1.00,1.00,1.00
peodal,pèodal,0.90,1,1.00,1.00,1.00
pentilasi,pèntilasi,0.93,1,1.00,1.00,1.00
peng,peungikôt,0.85,8,1.00,1.00,1.00
peh,peuthô,0.87,3,1.00,1.00,1.00
payong,payông,0.92,1,1.00,1.00,1.00
patoh,patôh,0.91,1,1.00,1.00,1.00
pateh,patôh,0.91,1,1.00,1.00,1.00
